ASIN,description,manufacturer,number_of_reviews,product_URL,product_description,product_name,product_price,rating
B0BPVLXD53," Material: Water Resistant Strong Polyester  , Compartments: 2 with padding  , Laptop Size: 15.6 inch and below  , Dimensions: LxWxH - 11 x 6 x 18 inches  , Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover  ",ADISA,"263 ratings,263 ratings",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-20," Material: Water Resistant Strong Polyester  , Compartments: 2 with padding  , Laptop Size: 15.6 inch and below  , Dimensions: LxWxH - 11 x 6 x 18 inches  , Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover  ",        ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey)       ,599," 3.8 , 3.8 "
B083M1QK32," Genuine Leather: This laptop bag for men / office bag for men/Laptop Backpack is made of 100% Full Grain Genuine Leather, making it the perfect accessory for office, travel, and daily use. The high-quality leather not only ensures longevity but also adds a touch of elegance to your style. We will gladly reward 100 Times the value of the product upon certification from any accredited labs like ""SGS"" or ""CLRI"" if proven otherwise.  , Spacious and Organized: The HAMMONDS FLYCATCHER Shoulder Bag for Men offers ample space and smart organization. With its 1 main compartment, padded laptop compartment, inner zipper pocket, mobile pocket, wallet pocket, pen slots, front pockets, side pockets, and back zipper pocket, this bag keeps your belongings organized. Dimensions: 40cm (L) x 14cm (W) x 30cm (H). Perfect as a shoulder bag for travel and a laptop bag for men.  , Water-Resistant and Travel-Friendly: The HAMMONDS FLYCATCHER Office Bag for Men, a leather bag for men, is water-resistant and travel-friendly. It features comfortable leather handles and padded, removable, adjustable shoulder straps for convenient carrying during your daily commute or travel adventures.  , Perfectly Fits Your Laptop: The HAMMONDS FLYCATCHER Messenger Bag, also serving as a shoulder bag, hand bag, and executive bag, is designed to accommodate 14/15.6/16-inch laptops, including MacBook and notebooks. This bag ensures a secure and snug fit for your valuable device, providing excellent protection during travel, work, or daily commutes. Its versatile design and functionality make it an ideal choice for professionals on the move.  , Perfect Gift: This office bag for men / Hand Bag for Men is a great gifts for men / gift idea for Father's Day, Birthdays, Valentine's Day, Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift. The Leather laptop bag / Hand Bag for Men makes a great gift for professionals, artists, students, and all sorts of officials.  ",Hindustan Foam,"571 ratings,571 ratings",https://www.amazon.in/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-19," Genuine Leather: This laptop bag for men / office bag for men/Laptop Backpack is made of 100% Full Grain Genuine Leather, making it the perfect accessory for office, travel, and daily use. The high-quality leather not only ensures longevity but also adds a touch of elegance to your style. We will gladly reward 100 Times the value of the product upon certification from any accredited labs like ""SGS"" or ""CLRI"" if proven otherwise.  , Spacious and Organized: The HAMMONDS FLYCATCHER Shoulder Bag for Men offers ample space and smart organization. With its 1 main compartment, padded laptop compartment, inner zipper pocket, mobile pocket, wallet pocket, pen slots, front pockets, side pockets, and back zipper pocket, this bag keeps your belongings organized. Dimensions: 40cm (L) x 14cm (W) x 30cm (H). Perfect as a shoulder bag for travel and a laptop bag for men.  , Water-Resistant and Travel-Friendly: The HAMMONDS FLYCATCHER Office Bag for Men, a leather bag for men, is water-resistant and travel-friendly. It features comfortable leather handles and padded, removable, adjustable shoulder straps for convenient carrying during your daily commute or travel adventures.  , Perfectly Fits Your Laptop: The HAMMONDS FLYCATCHER Messenger Bag, also serving as a shoulder bag, hand bag, and executive bag, is designed to accommodate 14/15.6/16-inch laptops, including MacBook and notebooks. This bag ensures a secure and snug fit for your valuable device, providing excellent protection during travel, work, or daily commutes. Its versatile design and functionality make it an ideal choice for professionals on the move.  , Perfect Gift: This office bag for men / Hand Bag for Men is a great gifts for men / gift idea for Father's Day, Birthdays, Valentine's Day, Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift. The Leather laptop bag / Hand Bag for Men makes a great gift for professionals, artists, students, and all sorts of officials.  ",        HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel       ,"5,255"," 4.4 , 4.4 "
B09TPX22NF," Material: Water Resistant Light-Weight Polyester<br>  , Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>  , Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>  , Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>  , Closure Type: Zipper<br>  ",ADISA,"1,023 ratings,1,023 ratings",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-16," Material: Water Resistant Light-Weight Polyester<br>  , Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>  , Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>  , Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>  , Closure Type: Zipper<br>  ",        ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)       ,499," 3.9 , 3.9 "
Gear Merchandise PVT LTD," Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.  , Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)  , Number of compartments: 1; Compatible Laptop Size : 15.4  , Warranty Type: Manufacturer; 1 Year from the date of purchase  , Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper  ",17 December 2015,"6,844 ratings,6,844 ratings",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-18," Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.  , Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)  , Number of compartments: 1; Compatible Laptop Size : 15.4  , Warranty Type: Manufacturer; 1 Year from the date of purchase  , Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper  ",        Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black       ,224," 3.7 , 3.7 "
B0BL3TVDK6," Care Instructions: Hand Wash Only  , COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g  , HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items  , CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use  , CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.  , HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.  ",Northzone,"124 ratings,124 ratings",https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-15," Care Instructions: Hand Wash Only  , COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g  , HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items  , CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use  , CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.  , HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.  ,NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",        Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L       ,549," 4.0 , 4.0 "
," Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort  , Smooth zippers that never jam or break  , Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use  , Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials  , The padded shoulder straps, handle, and back panel provides protection and all-day comfort.  ",,"3,729 ratings,3,729 ratings",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-17," Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort  , Smooth zippers that never jam or break  , Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use  , Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials  , The padded shoulder straps, handle, and back panel provides protection and all-day comfort.  ","        Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps       ",839," 4.3 , 4.3 "
LEGEND-1," Care Instructions: Hand Wash Only  , Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.  , Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.  , Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )  , Care Instructions: Wipe with Dry Cloth  , Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.  ",B09QJ7ZF2Y,"2,320 ratings,2,320 ratings",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-13," Care Instructions: Hand Wash Only  , Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.  , Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.  , Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )  , Care Instructions: Wipe with Dry Cloth  , Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.  ","        TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)       ",689," 3.8 , 3.8 "
B0BS6QQZYN," Care Instructions: Machine Wash  , Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.  , Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.  , Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.  ",SHABA BAGS,"482 ratings,482 ratings",https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-14," Care Instructions: Machine Wash  , Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.  , Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.  , Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.  ,Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",        NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L       ,630," 4.0 , 4.0 "
B0BTD4S4XF," Care Instructions: Hand Wash Only  , Well Organized compartment ,Security Back Pocket  ",EXPERTS,"572 ratings,572 ratings",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-9," Care Instructions: Hand Wash Only  , Well Organized compartment ,Security Back Pocket  ,A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self","        American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER       ","1,299"," 4.3 , 4.3 "
B09VTDMRY7," Care Instructions: Wipe with Damp Cloth  , Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>  , USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>  , Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>  , Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>  , Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>  ",FUR JADEN,"4,941 ratings,4,941 ratings",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_1_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1," Care Instructions: Wipe with Damp Cloth  , Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>  , USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>  , Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>  , Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>  , Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>  ,Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.","        FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls       ",679," 4.0 , 4.0 "
B07G4F6XFH," Care Instructions: Hand Wash Only  , Outer material: synthetic, color: brown  , Waterproof  , Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)  , Number of compartments: 2  , Laptop compatibility: yes, laptop size: 16strap type: adjustable  , Anti theft waterproof bag with anti sweat fabric on back and shoulder straps  ,USB and headphone cable slot,External bottle pocket,Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",Gear Merchandise PVT LTD,"5,922 ratings,5,922 ratings",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-8," Care Instructions: Hand Wash Only  , Outer material: synthetic, color: brown  , Waterproof  , Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)  , Number of compartments: 2  , Laptop compatibility: yes, laptop size: 16strap type: adjustable  , Anti theft waterproof bag with anti sweat fabric on back and shoulder straps  ,USB and headphone cable slot,External bottle pocket,Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .,Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",        Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown)       ,987," 4.4 , 4.4 "
Seacon Lite Grey," Care Instructions: Wipe with Dry Cloth  , SPACIOUS AND LIGHTWEIGHT: 35L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippers  , ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability  , 1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warranty  , WATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.  , MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks  ",B0C3MM9MPK,"1 rating,1 rating",https://www.amazon.in/Impulse-Seacon-Lite-Resistant-Grey/dp/B0C3MM9MPK/ref=sr_1_22_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Care Instructions: Wipe with Dry Cloth  , SPACIOUS AND LIGHTWEIGHT: 35L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippers  , ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability  , 1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warranty  , WATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.  , MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks  ,Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs",        Impulse Seacon Lite 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty(Grey)       ,"1,439"," 4.0 , 4.0 "
KILLER," Care Instructions: Hand Wash Only  , Outer Fabric: Durable PU coated Polyester Fabric. Inner Fabric: Strong PU coated polyester fabtic<br><br>  , Well cushioned Laptop compartment for upto 15.6 inch Laptop, and spacious enagh to carry for two days cloths<br><br>  , Style Name: Travel Backpacks; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult; Strap Type: Adjustable; Water Resistance Level: Water Resistant; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Compartment Description: Up To 15 Inches<br>  , <br>  , <br>  ",1 April 2018,"11,419 ratings,11,419 ratings",https://www.amazon.in/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07C9XHZT1/ref=sr_1_21_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Care Instructions: Hand Wash Only  , Outer Fabric: Durable PU coated Polyester Fabric. Inner Fabric: Strong PU coated polyester fabtic<br><br>  , Well cushioned Laptop compartment for upto 15.6 inch Laptop, and spacious enagh to carry for two days cloths<br><br>  , Style Name: Travel Backpacks; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult; Strap Type: Adjustable; Water Resistance Level: Water Resistant; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Compartment Description: Up To 15 Inches<br>  , <br>  , <br>  ,Stylish and Durable Spacious Laptop Backpack for Travel Killer LOUIS 15.6 inch laptop backpack is made of High grade water resistance PU coated polyester material that gives it strength and makes it durable for long-term use. It features 3 large well padded zippered compartments and One large easy access front pocket. Well padded laptop section fits upto 15.6 inch laptop, middle compartment is big enough to hold your office or weekend trip cloths or daily use belongings, front compartment with organizer section is to keep all official documents and small electronic gadgets, you can use it to store the charger, mouse, pen drive, notepad, pen and other essentials it also has one front zippered pockets for easy access items,. Killer LOUIS backpack features two mesh side pockets, where you can keep your water bottle or any other item for an quick access. Waterproof large Laptop Backpack Bag. Killer LOUIS laptop backpack is perfect laptop bag for you, its cushioned laptop pocket keep your laptop securely tight and protected while you are on the move. This laptop bag pack suits your style & is very comfortable to carry, its ergonomics and makes you forget the load you are carrying, well-padded shoulder straps ease the carrying Outer Fabric: Durable PU coated Linen Polyester Fabric. Compartments & Pockets: 3 main compartment, One front Pocket, Two side mesh pockets. Compatible laptop Size: Upto 15.6 inches. Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD).",        KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack       ,"2,067"," 4.4 , 4.4 "
B075MK4TXP," Outer Material: Polyester, Color: Black  , Water Resistance: Water resistant  , Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2  , Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,  , Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ",Gear Merchandise PVT LTD,"5,922 ratings,5,922 ratings",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690281007&sprefix=ba%2Caps%2C283&sr=8-10," Outer Material: Polyester, Color: Black  , Water Resistance: Water resistant  , Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2  , Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,  , Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ",        Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104)       ,"1,125"," 4.4 , 4.4 "
